filename,width,height,class,xmin,ymin,xmax,ymax
Abyssinian_1.jpg,600,400,abyssinian,333,72,425,158
Abyssinian_10.jpg,375,500,abyssinian,72,105,288,291
Abyssinian_100.jpg,394,500,abyssinian,151,71,335,267
Abyssinian_101.jpg,450,313,abyssinian,54,36,319,235
Abyssinian_102.jpg,500,465,abyssinian,23,27,325,320
Abyssinian_103.jpg,500,351,abyssinian,241,68,362,196
Abyssinian_105.jpg,500,375,abyssinian,237,101,373,227
Abyssinian_106.jpg,1536,1024,abyssinian,861,156,1302,563
Abyssinian_107.jpg,500,448,abyssinian,94,76,275,271
Abyssinian_108.jpg,500,404,abyssinian,50,14,336,304
Abyssinian_109.jpg,282,450,abyssinian,81,7,246,146
Abyssinian_11.jpg,192,288,abyssinian,43,57,94,105
Abyssinian_110.jpg,400,319,abyssinian,25,8,175,162
Abyssinian_111.jpg,500,402,abyssinian,298,94,423,213
Abyssinian_112.jpg,490,500,abyssinian,112,17,433,340
Abyssinian_113.jpg,640,425,abyssinian,300,95,403,196
Abyssinian_114.jpg,640,423,abyssinian,222,64,351,185
Abyssinian_115.jpg,500,367,abyssinian,238,52,391,175
Abyssinian_116.jpg,333,500,abyssinian,71,43,249,190
Abyssinian_117.jpg,500,401,abyssinian,72,102,217,222
Abyssinian_118.jpg,333,500,abyssinian,1,34,257,303
Abyssinian_119.jpg,300,297,abyssinian,39,51,156,179
Abyssinian_12.jpg,335,500,abyssinian,94,83,211,190
Abyssinian_120.jpg,267,400,abyssinian,63,85,166,180
Abyssinian_121.jpg,242,233,abyssinian,68,13,195,138
Abyssinian_122.jpg,300,278,abyssinian,195,10,278,100
Abyssinian_123.jpg,500,333,abyssinian,153,81,333,221
Abyssinian_124.jpg,333,500,abyssinian,88,94,207,195
Abyssinian_125.jpg,500,359,abyssinian,215,23,393,176
Abyssinian_126.jpg,500,423,abyssinian,88,87,204,182
Abyssinian_127.jpg,266,400,abyssinian,96,246,179,328
Abyssinian_128.jpg,500,375,abyssinian,46,22,166,168
Abyssinian_129.jpg,333,500,abyssinian,114,94,252,224
Abyssinian_13.jpg,245,280,abyssinian,145,25,218,96
Abyssinian_130.jpg,333,500,abyssinian,93,85,255,230
Abyssinian_131.jpg,311,320,abyssinian,17,25,206,180
Abyssinian_132.jpg,500,333,abyssinian,200,106,278,179
Abyssinian_133.jpg,700,496,abyssinian,63,50,219,227
Abyssinian_134.jpg,500,440,abyssinian,74,1,389,309
Abyssinian_135.jpg,333,500,abyssinian,20,58,257,278
Abyssinian_136.jpg,333,500,abyssinian,105,38,227,157
Abyssinian_137.jpg,1600,1200,abyssinian,593,108,1017,549
Abyssinian_138.jpg,500,333,abyssinian,250,60,378,186
Abyssinian_139.jpg,500,333,abyssinian,106,60,227,168
Abyssinian_14.jpg,335,500,abyssinian,164,71,252,163
Abyssinian_140.jpg,500,333,abyssinian,231,87,323,154
Abyssinian_141.jpg,461,500,abyssinian,35,106,326,343
Abyssinian_142.jpg,500,433,abyssinian,168,65,345,239
Abyssinian_143.jpg,500,461,abyssinian,160,20,411,260
Abyssinian_144.jpg,500,359,abyssinian,91,15,238,164
american_bulldog_10.jpg,500,334,american_bulldog,103,47,330,268
american_bulldog_100.jpg,500,333,american_bulldog,204,105,290,202
american_bulldog_101.jpg,500,334,american_bulldog,168,35,319,178
american_bulldog_102.jpg,334,500,american_bulldog,156,89,248,192
american_bulldog_103.jpg,375,500,american_bulldog,126,119,237,226
american_bulldog_104.jpg,500,332,american_bulldog,96,29,360,253
american_bulldog_105.jpg,500,332,american_bulldog,166,73,375,241
american_bulldog_106.jpg,325,500,american_bulldog,4,10,160,153
american_bulldog_107.jpg,376,500,american_bulldog,87,68,272,224
american_bulldog_108.jpg,375,500,american_bulldog,92,132,247,265
american_bulldog_109.jpg,335,500,american_bulldog,147,156,254,256
american_bulldog_11.jpg,500,375,american_bulldog,154,66,326,253
american_bulldog_110.jpg,500,441,american_bulldog,224,91,361,253
american_bulldog_111.jpg,500,333,american_bulldog,95,16,341,276
american_bulldog_112.jpg,333,500,american_bulldog,64,64,217,206
american_bulldog_113.jpg,500,333,american_bulldog,169,15,445,245
american_bulldog_114.jpg,500,375,american_bulldog,128,52,295,206
american_bulldog_115.jpg,500,333,american_bulldog,182,49,298,173
american_bulldog_116.jpg,375,500,american_bulldog,152,37,293,167
american_bulldog_117.jpg,375,500,american_bulldog,86,68,257,222
